Index1,Index2,Word1,Word2,X_Position,Cosine_Similarity
[4],[2],"these changes are not just environmental they are also economic and social,with agriculture,health systems,and infrastructure facing significant challenges.","as the planet warms,the polar ice caps and glaciers are rapidly melting,contributing to higher sea levels that endanger coastal communities and ecosystems.",428,0.509124363
[4],[3],"these changes are not just environmental they are also economic and social,with agriculture,health systems,and infrastructure facing significant challenges.","the changing climate is also putting immense pressure on biodiversity,as species struggle to adapt to the shifting environmental conditions.",428,0.6461651545
[4],[4],"these changes are not just environmental they are also economic and social,with agriculture,health systems,and infrastructure facing significant challenges.","these changes are not just environmental they are also economic and social,with agriculture,health systems,and infrastructure facing significant challenges.",428,0.9999995635
[4],[5],"these changes are not just environmental they are also economic and social,with agriculture,health systems,and infrastructure facing significant challenges.","governments around the world must take immediate action to mitigate climate change by reducing carbon emissions,promoting sustainable energy solutions,and investing in climate adaptation measures.",428,0.5093135157
[5],[0],"governments around the world must take immediate action to mitigate climate change by reducing carbon emissions,promoting sustainable energy solutions,and investing in climate adaptation measures.","climate change is one of the most urgent issues facing humanity today,with its effects becoming more pronounced every year.",536,0.6126754077
[5],[1],"governments around the world must take immediate action to mitigate climate change by reducing carbon emissions,promoting sustainable energy solutions,and investing in climate adaptation measures.","the rising global temperatures are causing shifts in weather patterns,leading to more frequent heatwaves,heavy storms,and unpredictable rainfall.",536,0.4862281004
[5],[2],"governments around the world must take immediate action to mitigate climate change by reducing carbon emissions,promoting sustainable energy solutions,and investing in climate adaptation measures.","as the planet warms,the polar ice caps and glaciers are rapidly melting,contributing to higher sea levels that endanger coastal communities and ecosystems.",536,0.5090394332
[5],[3],"governments around the world must take immediate action to mitigate climate change by reducing carbon emissions,promoting sustainable energy solutions,and investing in climate adaptation measures.","the changing climate is also putting immense pressure on biodiversity,as species struggle to adapt to the shifting environmental conditions.",536,0.5172292484
[5],[4],"governments around the world must take immediate action to mitigate climate change by reducing carbon emissions,promoting sustainable energy solutions,and investing in climate adaptation measures.","these changes are not just environmental they are also economic and social,with agriculture,health systems,and infrastructure facing significant challenges.",536,0.5092795264
[5],[5],"governments around the world must take immediate action to mitigate climate change by reducing carbon emissions,promoting sustainable energy solutions,and investing in climate adaptation measures.","governments around the world must take immediate action to mitigate climate change by reducing carbon emissions,promoting sustainable energy solutions,and investing in climate adaptation measures.",536,1
Document_Similarity --> 0.6494550342011699
